TadID,Block,Clutch,AccGraph1,AccGraph2,AccTemp,AccInc,PerfTemp,PerfInc,InitialGosner,ExposureGosner,FinalGosner,InitialMass,ExposureMass,FinalMass,Cysts1,Cysts7,Cysts14,PropCleared1,PropCleared2,PropEncysted,LeftoverCerc,AdjPropEncysted
05B,A,C,13-19?C,19-25?C,19,Inc5,16,Inc6,28,28,28,207,263,290,16,13,1,0.1875,0.923076923,0.8,0,0.8
11B,B,A,13-19?C,13-16?C,16,Inc11,16,Inc11,26,26,26,130,166,171,16,15,8,0.0625,0.466666667,0.8,0,0.8
11E,B,C,13-19?C,13-16?C,16,Inc11,25,Inc9,27,27,28,179,227,414,16,7,0,0.5625,1,0.8,0,0.8
14C,C,A,13-19?C,19-25?C,19,Inc14,19,Inc14,27,27,27,119,195,229,16,5,4,0.6875,0.2,0.8,0,0.8
15C,C,B,22-28?C,19-25?C,22,Inc15,19,Inc14,26,26,26,167,277,292,16,10,1,0.375,0.9,0.8,2,0.8
15E,C,B,22-28?C,19-25?C,22,Inc15,25,Inc13,26,28,28,179,260,401,16,7,2,0.5625,0.714285714,0.8,3,0.8
16D,C,A,13-19?C,13-16?C,13,Inc16,22,Inc15,29,27,28,244,314,340,16,15,6,0.0625,0.6,0.8,1,0.8
16E,C,C,13-19?C,13-16?C,13,Inc16,25,Inc13,28,27,29,176,195,379,16,1,1,0.9375,0,0.8,1,0.8
18B,C,A,22-28?C,28?C,28,Inc18,16,Inc17,29,31,31,250,416,566,16,15,9,0.0625,0.4,0.8,0,0.8
21C,D,B,22-28?C,19-25?C,25,Inc21,19,Inc22,25,26,NA,80,97,NA,16,0,0,1,NA,0.8,1,0.8
21E,D,C,22-28?C,19-25?C,25,Inc21,25,Inc21,25,26,26,71,96,104,16,6,5,0.625,0.166666667,0.8,1,0.8
22B,D,C,13-19?C,19-25?C,19,Inc22,16,Inc20,27,29,28,184,353,442,16,5,3,0.6875,0.4,0.8,0,0.8
22D,D,A,13-19?C,19-25?C,19,Inc22,22,Inc19,27,27,28,145,315,476,16,6,0,0.625,1,0.8,0,0.8
22F,D,A,13-19?C,19-25?C,19,Inc22,28,Inc23,26,28,29,127,282,517,16,3,1,0.8125,0.666666667,0.8,1,0.8
23D,D,C,22-28?C,28?C,28,Inc23,22,Inc19,28,30,32,147,407,615,16,4,0,0.75,1,0.8,0,0.8
26B,E,C,13-19?C,19-25?C,19,Inc26,16,Inc25,27,27,27,146,176,176,16,5,2,0.6875,0.6,0.8,0,0.8
27E,E,A,22-28?C,19-25?C,25,Inc27,25,Inc27,29,31,34,278,701,1000,16,5,5,0.6875,0,0.8,5,0.8
28D,E,B,22-28?C,28?C,28,Inc28,22,Inc29,26,30,31,111,524,729,16,13,2,0.1875,0.846153846,0.8,3,0.8
30C,E,B,13-19?C,13-16?C,13,Inc30,19,Inc26,31,31,31,398,504,583,16,16,11,0,0.3125,0.8,0,0.8
31D,F,B,22-28?C,19-25?C,25,Inc31,22,Inc33,29,31,33,246,407,569,16,6,1,0.625,0.833333333,0.8,0,0.8
31F,F,C,22-28?C,19-25?C,25,Inc31,28,Inc35,26,31,35,143,567,702,16,7,7,0.5625,0,0.8,0,0.8
06B,A,A,13-19?C,13-16?C,16,Inc6,16,Inc6,25,26,26,118,127,165,15,15,15,0,0,0.75,0,0.75
12D,B,B,22-28?C,19-25?C,22,Inc12,22,Inc12,26,28,NA,143,243,NA,15,0,0,1,NA,0.75,2,0.75
14F,C,C,13-19?C,19-25?C,19,Inc14,28,Inc18,26,27,29,114,164,378,15,1,1,0.933333333,0,0.75,0,0.75
20C,D,C,13-19?C,13-16?C,16,Inc20,19,Inc22,28,28,29,167,350,540,15,13,4,0.133333333,0.692307692,0.75,0,0.75
24E,D,A,13-19?C,13-16?C,13,Inc24,25,Inc21,26,26,28,118,140,367,15,0,0,1,NA,0.75,6,0.75
26D,E,B,13-19?C,19-25?C,19,Inc26,22,Inc29,31,31,31,608,625,680,15,4,0,0.733333333,1,0.75,1,0.75
27F,E,C,22-28?C,19-25?C,25,Inc27,28,Inc28,27,31,34,156,506,857,15,2,2,0.866666667,0,0.75,0,0.75
28A,E,C,22-28?C,28?C,28,Inc28,13,Inc30,27,31,31,130,569,622,15,12,12,0.2,0,0.75,0,0.75
29D,E,B,22-28?C,19-25?C,22,Inc29,22,Inc29,31,33,36,496,855,1141,15,5,3,0.666666667,0.4,0.75,0,0.75
33C,F,A,22-28?C,19-25?C,22,Inc33,19,Inc32,26,26,NA,90,163,NA,15,0,0,1,NA,0.75,2,0.75
34C,F,B,13-19?C,13-16?C,16,Inc34,19,Inc32,25,26,26,79,133,119,15,14,0,0.066666667,1,0.75,1,0.75
34E,F,C,13-19?C,13-16?C,16,Inc34,25,Inc31,26,26,30,109,234,431,15,3,3,0.8,0,0.75,1,0.75
01A,A,C,22-28?C,19-25?C,25,Inc1,13,Inc2,27,28,28,171,269,285,14,11,10,0.214285714,0.090909091,0.7,0,0.7
08B,B,B,22-28?C,28?C,28,Inc8,16,Inc11,27,29,28,236,340,412,14,10,10,0.285714286,0,0.7,2,0.7
09F,B,B,22-28?C,19-25?C,25,Inc9,28,Inc8,27,29,29,213,240,395,14,2,0,0.857142857,1,0.7,0,0.7
10B,B,C,13-19?C,19-25?C,19,Inc10,16,Inc11,26,26,27,114,246,293,14,7,1,0.5,0.857142857,0.7,0,0.7
10D,B,A,13-19?C,19-25?C,19,Inc10,22,Inc12,28,28,28,321,406,530,14,6,5,0.571428571,0.166666667,0.7,0,0.7
12B,B,A,22-28?C,19-25?C,22,Inc12,16,Inc11,25,26,NA,89,75,NA,14,0,0,1,NA,0.7,5,0.7
14B,C,A,13-19?C,19-25?C,19,Inc14,16,Inc17,26,26,NA,103,144,NA,14,7,0,0.5,1,0.7,7,0.7
14E,C,B,13-19?C,19-25?C,19,Inc14,25,Inc13,26,28,28,92,222,326,14,5,3,0.642857143,0.4,0.7,0,0.7
17A,C,A,13-19?C,13-16?C,16,Inc17,13,Inc16,26,26,26,164,286,265,14,11,9,0.214285714,0.181818182,0.7,5,0.7
19C,D,C,22-28?C,19-25?C,22,Inc19,19,Inc22,28,30,31,192,414,572,14,12,3,0.142857143,0.75,0.7,0,0.7
20B,D,B,13-19?C,13-16?C,16,Inc20,16,Inc20,26,26,27,172,282,294,14,14,1,0,0.928571429,0.7,2,0.7
23B,D,B,22-28?C,28?C,28,Inc23,16,Inc20,26,27,28,97,243,380,14,13,3,0.071428571,0.769230769,0.7,0,0.7
26F,E,C,13-19?C,19-25?C,19,Inc26,28,Inc28,29,28,35,237,432,722,14,12,11,0.142857143,0.083333333,0.7,0,0.7
28B,E,B,22-28?C,28?C,28,Inc28,16,Inc25,26,31,31,117,643,740,14,12,12,0.142857143,0,0.7,0,0.7
28C,E,C,22-28?C,28?C,28,Inc28,19,Inc26,28,34,35,206,646,1004,14,6,4,0.571428571,0.333333333,0.7,0,0.7
28E,E,A,22-28?C,28?C,28,Inc28,25,Inc27,25,26,NA,101,186,NA,14,0,0,1,NA,0.7,2,0.7
29B,E,C,22-28?C,19-25?C,22,Inc29,16,Inc25,28,31,32,206,577,695,14,11,6,0.214285714,0.454545455,0.7,0,0.7
29C,E,A,22-28?C,19-25?C,22,Inc29,19,Inc26,26,27,27,105,390,466,14,12,5,0.142857143,0.583333333,0.7,1,0.7
30E,E,B,13-19?C,13-16?C,13,Inc30,25,Inc27,29,29,29,257,272,382,14,2,2,0.857142857,0,0.7,0,0.7
31E,F,B,22-28?C,19-25?C,25,Inc31,25,Inc31,27,28,29,211,432,671,14,2,2,0.857142857,0,0.7,2,0.7
34D,F,B,13-19?C,13-16?C,16,Inc34,22,Inc33,26,26,26,108,222,191,14,10,7,0.285714286,0.3,0.7,0,0.7
35C,F,A,22-28?C,28?C,28,Inc35,19,Inc32,25,28,29,103,492,660,14,14,3,0,0.785714286,0.7,1,0.7
36B,F,B,13-19?C,13-16?C,13,Inc36,16,Inc34,26,26,26,155,185,220,14,8,1,0.428571429,0.875,0.7,0,0.7
03A,A,A,22-28?C,28?C,28,Inc3,13,Inc2,25,25,NA,45,77,NA,13,NA,NA,NA,NA,0.65,3,0.65
04D,A,C,22-28?C,19-25?C,22,Inc4,22,Inc4,27,29,29,160,376,369,13,6,5,0.538461538,0.166666667,0.65,0,0.65
04E,A,B,22-28?C,19-25?C,22,Inc4,25,Inc1,27,28,31,161,319,642,13,5,2,0.615384615,0.6,0.65,0,0.65
04F,A,B,22-28?C,19-25?C,22,Inc4,28,Inc3,26,26,26,59,158,254,13,2,2,0.846153846,0,0.65,0,0.65
05C,A,A,13-19?C,19-25?C,19,Inc5,19,Inc5,26,26,26,130,131,155,13,11,0,0.153846154,1,0.65,1,0.65
06F,A,C,13-19?C,13-16?C,16,Inc6,28,Inc3,26,27,29,102,154,388,13,2,2,0.846153846,0,0.65,0,0.65
09D,B,B,22-28?C,19-25?C,25,Inc9,22,Inc12,26,27,29,152,293,583,13,3,2,0.769230769,0.333333333,0.65,0,0.65
11C,B,B,13-19?C,13-16?C,16,Inc11,19,Inc10,27,27,27,232,307,478,13,11,2,0.153846154,0.818181818,0.65,0,0.65
13C,C,B,22-28?C,19-25?C,25,Inc13,19,Inc14,26,27,27,106,264,302,13,1,0,0.923076923,1,0.65,1,0.65
19A,D,C,22-28?C,19-25?C,22,Inc19,13,Inc24,26,27,27,126,221,239,13,7,7,0.461538462,0,0.65,0,0.65
20E,D,B,13-19?C,13-16?C,16,Inc20,25,Inc21,27,28,30,148,286,587,13,0,0,1,NA,0.65,1,0.65
22E,D,C,13-19?C,19-25?C,19,Inc22,25,Inc21,27,31,31,160,405,604,13,1,1,0.923076923,0,0.65,1,0.65
25D,E,B,13-19?C,13-16?C,16,Inc25,22,Inc29,26,26,27,181,261,409,13,4,4,0.692307692,0,0.65,1,0.65
29E,E,A,22-28?C,19-25?C,22,Inc29,25,Inc27,26,28,30,84,318,501,13,1,1,0.923076923,0,0.65,1,0.65
33A,F,B,22-28?C,19-25?C,22,Inc33,13,Inc36,28,26,NA,209,219,NA,13,0,0,1,NA,0.65,2,0.65
36E,F,A,13-19?C,13-16?C,13,Inc36,25,Inc31,26,26,27,127,177,298,13,1,1,0.923076923,0,0.65,0,0.65
03F,A,B,22-28?C,28?C,28,Inc3,28,Inc3,28,28,31,273,357,700,12,3,3,0.75,0,0.6,0,0.6
05F,A,B,13-19?C,19-25?C,19,Inc5,28,Inc3,27,27,28,181,269,605,12,3,2,0.75,0.333333333,0.6,0,0.6
06D,A,A,13-19?C,13-16?C,16,Inc6,22,Inc4,25,26,NA,88,67,NA,12,9,0,0.25,1,0.6,2,0.6
12A,B,B,22-28?C,19-25?C,22,Inc12,13,Inc7,26,26,NA,162,223,NA,12,0,0,1,NA,0.6,2,0.6
12F,B,C,22-28?C,19-25?C,22,Inc12,28,Inc8,28,29,33,213,356,635,12,0,0,1,NA,0.6,1,0.6
14A,C,B,13-19?C,19-25?C,19,Inc14,13,Inc16,26,27,27,158,250,227,12,2,0,0.833333333,1,0.6,3,0.6
24A,D,C,13-19?C,13-16?C,13,Inc24,13,Inc24,28,28,28,185,304,374,12,8,5,0.333333333,0.375,0.6,1,0.6
25F,E,C,13-19?C,13-16?C,16,Inc25,28,Inc28,27,27,33,162,348,657,12,9,7,0.25,0.222222222,0.6,0,0.6
29F,E,C,22-28?C,19-25?C,22,Inc29,28,Inc28,28,31,36,192,414,658,12,8,8,0.333333333,0,0.6,0,0.6
32E,F,B,13-19?C,19-25?C,19,Inc32,25,Inc31,30,31,34,581,909,1082,12,6,6,0.5,0,0.6,0,0.6
35A,F,B,22-28?C,28?C,28,Inc35,13,Inc36,26,28,NA,112,435,NA,12,0,0,1,NA,0.6,9,0.6
35D,F,A,22-28?C,28?C,28,Inc35,22,Inc33,26,28,28,118,506,533,12,7,2,0.416666667,0.714285714,0.6,0,0.6
01F,A,B,22-28?C,19-25?C,25,Inc1,28,Inc3,27,29,31,204,334,618,11,4,2,0.636363636,0.5,0.55,0,0.55
02B,A,A,13-19?C,13-16?C,13,Inc2,16,Inc6,26,26,26,101,123,154,11,10,8,0.090909091,0.2,0.55,0,0.55
05D,A,B,13-19?C,19-25?C,19,Inc5,22,Inc4,26,26,NA,114,100,NA,11,0,0,1,NA,0.55,0,0.55
07F,B,B,13-19?C,13-16?C,13,Inc7,28,Inc8,28,28,27,266,276,600,11,3,0,0.727272727,1,0.55,0,0.55
09B,B,A,22-28?C,19-25?C,25,Inc9,16,Inc11,25,27,27,141,240,334,11,2,2,0.818181818,0,0.55,4,0.55
13B,C,C,22-28?C,19-25?C,25,Inc13,16,Inc17,29,31,31,200,433,530,11,10,7,0.090909091,0.3,0.55,0,0.55
13D,C,A,22-28?C,19-25?C,25,Inc13,22,Inc15,26,28,28,131,216,330,11,4,1,0.636363636,0.75,0.55,9,0.55
13F,C,B,22-28?C,19-25?C,25,Inc13,28,Inc18,26,28,29,139,230,474,11,2,2,0.818181818,0,0.55,3,0.55
19E,D,B,22-28?C,19-25?C,22,Inc19,25,Inc21,25,25,25,68,134,139,11,0,0,1,NA,0.55,2,0.55
28F,E,A,22-28?C,28?C,28,Inc28,28,Inc28,28,26,29,145,252,297,11,3,3,0.727272727,0,0.55,1,0.55
35F,F,C,22-28?C,28?C,28,Inc35,28,Inc35,27,31,36,121,531,799,11,6,6,0.454545455,0,0.55,0,0.55
02C,A,A,13-19?C,13-16?C,13,Inc2,19,Inc5,26,26,26,44,60,86,10,7,1,0.3,0.857142857,0.5,0,0.5
04A,A,A,22-28?C,19-25?C,22,Inc4,13,Inc2,27,28,NA,185,306,NA,10,NA,NA,NA,NA,0.5,0,0.5
07A,B,A,13-19?C,13-16?C,13,Inc7,13,Inc7,25,25,25,86,111,84,10,9,6,0.1,0.333333333,0.5,1,0.5
08F,B,C,22-28?C,28?C,28,Inc8,28,Inc8,26,28,28,211,255,445,10,1,1,0.9,0,0.5,5,0.5
11A,B,C,13-19?C,13-16?C,16,Inc11,13,Inc7,26,26,26,127,239,272,10,8,0,0.2,1,0.5,3,0.5
15F,C,A,22-28?C,19-25?C,22,Inc15,28,Inc18,27,26,28,134,145,329,10,2,2,0.8,0,0.5,0,0.5
21B,D,B,22-28?C,19-25?C,25,Inc21,16,Inc20,26,28,28,106,273,367,10,9,4,0.1,0.555555556,0.5,4,0.5
30B,E,A,13-19?C,13-16?C,13,Inc30,16,Inc25,30,29,29,315,358,322,10,10,6,0,0.4,0.5,0,0.5
32A,F,C,13-19?C,19-25?C,19,Inc32,13,Inc36,26,27,26,153,209,219,10,6,4,0.4,0.333333333,0.5,1,0.5
34F,F,A,13-19?C,13-16?C,16,Inc34,28,Inc35,25,26,NA,84,99,NA,10,0,0,1,NA,0.5,1,0.5
07B,B,A,13-19?C,13-16?C,13,Inc7,16,Inc11,26,26,26,143,182,247,9,8,1,0.111111111,0.875,0.45,2,0.45
08D,B,A,22-28?C,28?C,28,Inc8,22,Inc12,27,30,30,253,457,680,9,7,4,0.222222222,0.428571429,0.45,0,0.45
12E,B,A,22-28?C,19-25?C,22,Inc12,25,Inc9,25,26,NA,121,145,NA,9,0,0,1,NA,0.45,4,0.45
19F,D,B,22-28?C,19-25?C,22,Inc19,28,Inc23,26,26,28,100,171,348,9,0,0,1,NA,0.45,2,0.45
35E,F,B,22-28?C,28?C,28,Inc35,25,Inc31,29,31,34,336,581,846,9,1,1,0.888888889,0,0.45,0,0.45
02A,A,B,13-19?C,13-16?C,13,Inc2,13,Inc2,26,26,26,125,136,136,8,8,7,0,0.125,0.4,3,0.4
09A,B,C,22-28?C,19-25?C,25,Inc9,13,Inc7,30,35,34,285,565,628,8,6,3,0.25,0.5,0.4,7,0.4
11F,B,B,13-19?C,13-16?C,16,Inc11,28,Inc8,28,28,28,252,385,594,8,4,4,0.5,0,0.4,0,0.4
13E,C,C,22-28?C,19-25?C,25,Inc13,25,Inc13,27,29,31,123,221,463,8,1,1,0.875,0,0.4,5,0.4
15A,C,C,22-28?C,19-25?C,22,Inc15,13,Inc16,26,28,28,116,353,363,8,7,7,0.125,0,0.4,9,0.4
16A,C,A,13-19?C,13-16?C,13,Inc16,13,Inc16,28,27,27,195,268,225,8,8,5,0,0.375,0.4,3,0.4
